valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CREFISIO POLICLINICA DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CUIDARE CENTRO DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,FISIOREMANSO CLINICA DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,HOSPITAL SAO LUCAS DE SANTOS LTDA,rede credenciada,sao de ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,NANACLIN NUCLEO DE PSICOLOGIA E SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,P. VILLELA VILLELA SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,SIG PSICANALISE CLINICA DE SAUDE MENTAL LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,UBARI ESPACO DE PSICOLOGIA E SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,UNIPSICO DE SAO PAULO COOPERATIVA DE SAUDE E,rede credenciada,sao de saude
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CASA DE SAUDE PINHEIRO MACHADO LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,ANALISES CLINICAS SAO FRANCISCO LTDA,rede credenciada,sao francisco ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CASA DE SAUDE E MATERNIDADE SAO VICENTE,rede credenciada,sao de saude
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,INSTITUTO FENIX DE SAUDE MENTAL LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,BEM ESTAR MULTICLINICA DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,MERAKI CLINICA DE PSICOLOGIA E SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,FONOAUDIOPREV SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,MENEZES NUCLEO DE SAUDE ORAL LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,FREIRE SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,AMIH SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CENTRO INTEGRADO DE SAUDE LTDA ME,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,H MENDES CLINICA DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CENTRO DE SAUDE CORPO E EQUILIBRIO LTDA.,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,MULTICLINICA SERVICOS ODONTOL E DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,EVANGELISTA E COELHO ADM E P DE S SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,TOPCLIN SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,EXITO CLIN DE SAUDE INTEGR LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,LK SERV DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,SORRINDO MAIS DE SAO GONCALO ODONTOL LTDA,rede credenciada,sao de ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CYANO CENTRO INTEGR DE SAUDE E ODONTOL LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,F A SILVA SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CENTRO DE SAUDE FELIZMED LTDA ME,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CASA DE SAUDE GRAJAU LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,OMEGHA SISTEMA DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,WECARE CENTRO DE ASSIST E TERAP EM SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,SERVICO SAO GABRIEL DE MEDICINA S/S LTDA,rede credenciada,sao de ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,L X SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,REDE D'OR SAO LUIZ SERVICOS MEDICOS LTDA.,rede credenciada,sao rede ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,LABORATORIO CLINICO SAO LUCAS DE ITAPEVA LTDA,rede credenciada,sao de ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,CISE CENTRO INTEGRADO DE SAUDE E EDUCACAO LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,KF CENTRO DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,WISE DOCTORS SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,EQUIPE MEDICA DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,KPMF CENTRO DE SAUDE LTDA,rede credenciada,de saude ltda
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,VINCULO: SERVICOS DE SAUDE LTDA,rede credenciada,de saude ltda
ULTRA SOM SERV MED LTDA - HAP ESPINHEIRO,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP ESPINHEIRO,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP ESPINHEIRO,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HOSP CASA FORTE,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HOSP CASA FORTE,rede propria,HOSP DAY MAIS VIDA SERV SAUDE SEG TRAB LTDA,rede credenciada,serv ltda hosp
ULTRA SOM SERV MED LTDA - HOSP CASA FORTE,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HOSP CASA FORTE,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP EPAMINO,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP EPAMINO,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP EPAMINO,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP MONTESE,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP MONTESE,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP MONTESE,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,ODONTO LAURO CLINICA DE ODONTOLOGIA LTDA,rede credenciada,ltda lauro de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,CEMEDI CENTRO MED DE DIAG POR IMAGEM LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,LABORATORIO DE ANALISES CLIN FREITAS LTDA,rede credenciada,ltda de freitas
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,SERVICOS MED E ASSIS DE BARRINHA LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,DAVITA BRASIL PARTIC E SERV DE NEFROLOG LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,UNISAUDE CLIN MED SERV DE DIAG,rede credenciada,serv med de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,CLISANNA LAURO DE FREITAS,rede credenciada,lauro de freitas
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,DAVITA BRASIL PARTICIP E SERV DE NEFRO LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,COSTA E XIMENEZ PRESTADOR DE SERV ODONTO LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,SERMIG SERV RADIOLOGIA E ULTRA SONOGRAFIA DE,rede credenciada,ultra serv de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,INSTITUTO DE ULTRA SONOGRAFIA LTDA,rede credenciada,ultra ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,LIONELA TRIGO DE ROMERO ASSISTENCIA MED LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,PROLL MED LABOR DE ANALISES CLI LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,CLINICA MOURA DE FREITAS LTDA,rede credenciada,ltda de freitas
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,ODONTORRISO PRESTACAO DE SERV ODONTOL LTDA ME,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,DAVITA BRASIL PARTICIPACOES E SERV DE N LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,CENTRO DE ESPECIALIDADES MED DE NAVIRAI LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,DAVITA BRASIL PARTICIPACOES SERV DE NEF LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,SERPCRAZ SERV DE PSIC E CLIN DE ESPEC LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,LK SERV DE SAUDE LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,SILVIA MARIA DE FREITAS SCHIVITARO LTDA,rede credenciada,ltda de freitas
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,CEMEDI CENTRO MED DE DIAG POR IMAGEM LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,SERVICOS MED E ASSIS DE BARRINHA LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,DAVITA BRASIL PARTIC E SERV DE NEFROLOG LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,UNISAUDE CLIN MED SERV DE DIAG,rede credenciada,serv med de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,DAVITA BRASIL PARTICIP E SERV DE NEFRO LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,COSTA E XIMENEZ PRESTADOR DE SERV ODONTO LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,SERMIG SERV RADIOLOGIA E ULTRA SONOGRAFIA DE,rede credenciada,ultra serv de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,INSTITUTO DE ULTRA SONOGRAFIA LTDA,rede credenciada,ultra ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,LIONELA TRIGO DE ROMERO ASSISTENCIA MED LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,PROLL MED LABOR DE ANALISES CLI LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,ODONTORRISO PRESTACAO DE SERV ODONTOL LTDA ME,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,DAVITA BRASIL PARTICIPACOES E SERV DE N LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,CENTRO DE ESPECIALIDADES MED DE NAVIRAI LTDA,rede credenciada,med ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,H.S COR SERV DE HEMODIN DE DUQUE DE CAXIAS LT,rede credenciada,serv duque de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,DAVITA BRASIL PARTICIPACOES SERV DE NEF LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,SERPCRAZ SERV DE PSIC E CLIN DE ESPEC LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,LK SERV DE SAUDE LTDA,rede credenciada,serv ltda de
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,HOSPITAL DA CRIANCA SAO JOSE LTDA,rede credenciada,ltda sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,CENTRO MEDICO SAO JOSE LTDA,rede credenciada,ltda sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,CENTRO MED SAO JOSE,rede credenciada,med sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,INSTITUTO SAO JOSE LTDA,rede credenciada,ltda sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,SANATORIO SAO JOSE LTDA,rede credenciada,ltda sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,CLINICA HOSPITALAR DE IMAGEM SAO JOSE LTDA,rede credenciada,ltda sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,HOSPITAL SAO JOSE LTDA,rede credenciada,ltda sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,CLIN ODONTOL SAO JOSE LTDA,rede credenciada,ltda sao jose
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,POLICLINICA SAO CAETANO CONSUL MED ESPEC LTDA,rede credenciada,med ltda sao
ULTRA SOM SERV MED LTDA - HAPC SAO JOSE,rede propria,LS MEDIC SAO PAULO ASSIST MED E CONSULT LTDA,rede credenciada,med ltda sao
ULTRA SOM SERV MED LTDA - HAPCL VASCO DA GAM,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPCL VASCO DA GAM,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPCL VASCO DA GAM,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP LOBO FILHO,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP LOBO FILHO,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP LOBO FILHO,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED - HAPC BARAO DE STUDA,rede propria,UNISAUDE CLIN MED SERV DE DIAG,rede credenciada,serv med de
ULTRA SOM SERV MED - HAPC BARAO DE STUDA,rede propria,SERMIG SERV RADIOLOGIA E ULTRA SONOGRAFIA DE,rede credenciada,ultra serv de
ULTRA SOM SERV MED - HAPC BARAO DE STUDA,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med de
ULTRA SOM SERV MED LTDA - HAPC PARQUE,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC PARQUE,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC PARQUE,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED - CLIN OFT JD AMERICA,rede propria,UNISAUDE CLIN MED SERV DE DIAG,rede credenciada,serv med clin
ULTRA SOM SERV MED - CLIN OFT JD AMERICA,rede propria,DIVA CLIN SERV MED,rede credenciada,serv med clin
ULTRA SOM SERV MED LTDA - HAPC PITUBA II,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC PITUBA II,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC PITUBA II,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP BOA VIAGEM,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP BOA VIAGEM,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP BOA VIAGEM,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP BOA VIAGEM,rede propria,ODONTOCENTER BOA VIAGEM LTDA,rede credenciada,ltda boa viagem
VIVENTI HOSPITAL ASA SUL LTDA,rede propria,DAVITA SERVICOS DE NEFROLOGIA ASA SUL LTDA,rede credenciada,asa sul ltda
ULTRA SOM SERV MED LTDA - HAP LOMAS VALE,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP LOMAS VALE,rede propria,HUMANITY CENTRO MED DO VALE DO SAPUCAI LTDA,rede credenciada,med ltda vale
ULTRA SOM SERV MED LTDA - HAP LOMAS VALE,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP LOMAS VALE,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC ARACAJU,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC ARACAJU,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC ARACAJU,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP JOAQUIM TAVORA,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP JOAQUIM TAVORA,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP JOAQUIM TAVORA,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP GARIBALDI,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP GARIBALDI,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP GARIBALDI,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP FLORES,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP FLORES,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP FLORES,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - UNID DA MULHER,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - UNID DA MULHER,rede propria,CENTRO DE DIAGNOSTICO DA MULHER LTDA,rede credenciada,ltda da mulher
ULTRA SOM SERV MED LTDA - UNID DA MULHER,rede propria,CEPEM CENTRO DE PESQUISA DA MULHER LTDA,rede credenciada,ltda da mulher
ULTRA SOM SERV MED LTDA - UNID DA MULHER,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - UNID DA MULHER,rede propria,ALMEIDA PRADO CENTRO MEDICO DA MULHER LTDA,rede credenciada,ltda da mulher
ULTRA SOM SERV MED LTDA - UNID DA MULHER,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC RIO VER,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC RIO VER,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC RIO VER,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC ZONA SUL,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC ZONA SUL,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC ZONA SUL,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
NUCLEO NASCER BEM-HAPCLINICA LAURO DE FREITAS,rede propria,CLISANNA LAURO DE FREITAS,rede credenciada,lauro de freitas
ULTRA SOM SERV MED - AMERICA DIAGNOSTICOS,rede propria,FACE DIAGNOSTICOS E SERV MED,rede credenciada,serv med diagnosticos
ULTRA SOM SERV MED LTDA - HAPC SAO GERARDO,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC SAO GERARDO,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC SAO GERARDO,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC SAO GERARDO,rede propria,POLICLINICA SAO CAETANO CONSUL MED ESPEC LTDA,rede credenciada,med ltda sao
ULTRA SOM SERV MED LTDA - HAPC SAO GERARDO,rede propria,LS MEDIC SAO PAULO ASSIST MED E CONSULT LTDA,rede credenciada,med ltda sao
ULTRA SOM SERV MED LTDA - HAP DAS GRACAS,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP DAS GRACAS,rede propria,CLINICA NOSSA SENHORA DAS GRACAS LTDA,rede credenciada,ltda das gracas
ULTRA SOM SERV MED LTDA - HAP DAS GRACAS,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAP DAS GRACAS,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC RECIFE,rede propria,EGYDIO SERV MED E ODONTOLOGICOS S S LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC RECIFE,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda
ULTRA SOM SERV MED LTDA - HAPC RECIFE,rede propria,PRONTOCARDIO SERV MED HOSPIT LTDA,rede credenciada,serv med ltda
