valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SISTEMA DE SAUDE SA,rede propria,notre dame intermedica saude sa
MINASLABOR LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,CENTRO CLINICO E ORTOPEDICO DE CEILANDIA LTDA,rede credenciada,centro clinico e de ltda
DIAGNOSTIC LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
LABORATORIO DELIBERATO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
CASA DE SAUDE E MATERNIDADE SAO VICENTE,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
D J L LABORATORIO DE ANALISES CLINICAS,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,l laboratorio de analises clinicas
CC IPSA (PRONTO ATENDIMENTO DE 8 AS 18),rede propria,CC IPSA (PRONTO ATEND 8 AS 18),rede credenciada,cc ipsa pronto 8 as
CASA DE SAUDE E MATERNIDADE TEREZINHA DE JESU,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
CASA DE SAUDE E MATERNIDADE,rede propria,CASAMATER - CASA DE SAUDE E MATERNIDADE TERESINA ***ATENDIMENTO SOB ENCAMINHAMENTO.,rede credenciada,casa de saude e maternidade
