valor_1,contratacao_1,valor_2,contratacao_2,match_palavras,qtd_palavras_em_comum
LABOR VIDA LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
LABORATORIO DE ANALISES CLINICAS DAS NACOES L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
CASA DE SAUDE E MATERNIDADE STA. FILOMENA S/A,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade,5
HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,HOSPITAL E MATERNIDADE MARINGA S A,rede credenciada,hospital e maternidade s a,5
HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,e maternidade santa s a,5
HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,HOSPITAL E MATERNIDADE SANTA JOANA S A,rede credenciada,hospital e maternidade santa s,6
HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,HOSPITAL E MATERNIDADE MARINGA S A,rede credenciada,hospital e maternidade s a,5
HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,e maternidade santa s a,5
HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,HOSPITAL E MATERNIDADE SANTA JOANA S A,rede credenciada,hospital e maternidade santa s,6
CASA DE SAUDE E MATERNIDADE NOSSA SRA DE FATI,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade,5
INSTITUTO HERMES PARDINI S A,rede credenciada,INSTITUTO HERMES PARDINI S/A,rede propria,instituto hermes pardini s a,5
HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,HOSPITAL E MATERNIDADE MARINGA S A,rede credenciada,hospital e maternidade s a,5
HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,e maternidade santa s a,5
HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,HOSPITAL E MATERNIDADE SANTA JOANA S A,rede credenciada,hospital e maternidade santa s,6
LABORATORIO DE ANALISES CLINICAS VIOTTI S S L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
LABORLIDER LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
CASA DE SAUDE E MATERNIDADE NOSSA SENHORA APA,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade,5
CASA DE SAUDE E MATERNIDADE SANTA MARTHA,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade,5
LABORPRATA LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
BIOLAB LABORATORIO DE ANALISES CLINICAS S C L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
PARAISOLAB LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SAUDE SA,rede propria,notre dame intermedica saude sa,5
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SAUDE SA GARAGEM SANTA BRIGIDA,rede propria,notre dame intermedica saude sa,5
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SAUDE SA GARAGEM SAMBAIBA 2,rede propria,notre dame intermedica saude sa,5
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SISTEMA DE SAUDE SA,rede propria,notre dame intermedica saude sa,5
MINASLABOR LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade,5
CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,CENTRO CLINICO E ORTOPEDICO DE CEILANDIA LTDA,rede credenciada,centro clinico e de ltda,5
DIAGNOSTIC LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
LABORATORIO DELIBERATO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l,5
CASA DE SAUDE E MATERNIDADE SAO VICENTE,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade,5
D J L LABORATORIO DE ANALISES CLINICAS,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,l laboratorio de analises clinicas,5
CC IPSA (PRONTO ATENDIMENTO DE 8 AS 18),rede propria,CC IPSA (PRONTO ATEND 8 AS 18),rede credenciada,cc ipsa pronto 8 as,6
CASA DE SAUDE E MATERNIDADE TEREZINHA DE JESU,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade,5
CASA DE SAUDE E MATERNIDADE,rede propria,CASAMATER - CASA DE SAUDE E MATERNIDADE TERESINA ***ATENDIMENTO SOB ENCAMINHAMENTO.,rede credenciada,casa de saude e maternidade,5
